,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,10,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]","[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]",85.6440,0.8538,0.8663,0.8413,0:06:14,4134141,207642036
0,6,"[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]","[4, 5, 1, 3, 4, 3]",86.4393,0.8637,0.8784,0.8520,0:05:05,165366,8560650
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]","[4, 6, 6, 6, 1, 5, 4, 3, 2]",86.7918,0.8612,0.8748,0.8492,0:05:55,1423844,72200030
0,8,"[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]","[4, 1, 3, 5, 3, 6, 1, 5]",86.8492,0.8651,0.8793,0.8535,0:05:39,849318,43346394
0,5,"[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]","[2, 2, 1, 5, 6]",86.8164,0.8670,0.8842,0.8556,0:04:49,234225,11793068
0,4,"[192, 192, 192, 192]","[6, 5, 4, 4]","[1, 6, 5, 6]",83.9325,0.8371,0.8439,0.8232,0:04:42,1985481,97512380
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]","[4, 5, 3, 4, 4, 6, 6, 6]",83.5779,0.8358,0.8579,0.8217,0:05:37,122507,6512072
0,9,"[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]","[3, 1, 6, 2, 3, 2, 3, 4, 1]",86.9558,0.8667,0.8806,0.8553,0:05:55,1456235,74201960
0,4,"[144, 144, 144, 144]","[3, 4, 4, 3]","[3, 1, 1, 5]",85.5354,0.8524,0.8634,0.8398,0:04:42,797919,39329136
0,5,"[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]","[6, 1, 6, 1, 5]",80.2820,0.8028,0.8260,0.7860,0:04:52,151062,7652778
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]","[3, 3, 4, 2, 1, 5, 4, 1, 5]",87.6035,0.8753,0.8854,0.8646,0:05:59,3469059,174290872
0,5,"[176, 176, 176, 176, 176]","[6, 4, 3, 6, 6]","[2, 3, 5, 3, 1]",84.9963,0.8500,0.8579,0.8371,0:04:57,1546327,76748448
0,10,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 5, 3, 5, 4, 4, 6, 5]","[5, 3, 6, 3, 4, 6, 3, 2, 5, 6]",85.9310,0.8587,0.8750,0.8466,0:06:15,3971944,199167990
0,6,"[240, 240, 240, 240, 240, 240]","[5, 6, 6, 3, 3, 4]","[6, 3, 5, 6, 5, 2]",86.8820,0.8652,0.8759,0.8537,0:05:31,4586895,227036880
0,6,"[144, 144, 144, 144, 144, 144]","[6, 3, 6, 6, 3, 4]","[2, 2, 2, 6, 4, 4]",86.0314,0.8603,0.8736,0.8483,0:05:17,1382559,69161904
0,4,"[112, 112, 112, 112]","[6, 3, 3, 6]","[3, 6, 2, 4]",84.7421,0.8474,0.8666,0.8345,0:04:38,613073,30146172
0,6,"[32, 32, 32, 32, 32, 32]","[3, 4, 3, 6, 6, 5]","[4, 1, 4, 2, 5, 6]",81.7988,0.8180,0.8317,0.8024,0:05:07,80721,4219852
0,5,"[96, 96, 96, 96, 96]","[3, 4, 3, 4, 5]","[1, 6, 1, 6, 5]",84.1436,0.8392,0.8530,0.8255,0:04:52,570156,28463134
0,9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[3, 5, 4, 5, 3, 4, 5, 3, 3]","[2, 1, 4, 4, 6, 1, 1, 3, 4]",82.3153,0.8232,0.8463,0.8081,0:05:50,101669,5640068
0,5,"[160, 160, 160, 160, 160]","[3, 6, 6, 6, 5]","[6, 3, 5, 3, 3]",86.1523,0.8600,0.8714,0.8481,0:04:58,1587816,78618694
0,5,"[112, 112, 112, 112, 112]","[4, 4, 5, 5, 5]","[2, 4, 5, 3, 1]",84.4962,0.8425,0.8595,0.8291,0:04:54,666061,33249636
