,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,10,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]","[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]",81.0671,0.8073,0.8878,0.7814,0:04:15,4145086,207640692
0,6,"[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]","[4, 5, 1, 3, 4, 3]",77.4067,0.7741,0.8501,0.7456,0:02:22,168103,8560314
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]","[4, 6, 6, 6, 1, 5, 4, 3, 2]",81.7702,0.8103,0.8927,0.7855,0:03:18,1430229,72199246
0,8,"[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]","[4, 1, 3, 5, 3, 6, 1, 5]",81.5014,0.8126,0.8921,0.7887,0:02:58,854791,43345722
0,5,"[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]","[2, 2, 1, 5, 6]",63.0648,0.6311,0.7735,0.5922,0:02:07,237874,11792620
0,4,"[192, 192, 192, 192]","[6, 5, 4, 4]","[1, 6, 5, 6]",81.4497,0.8003,0.8766,0.7741,0:02:12,1996426,97511036
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]","[4, 5, 3, 4, 4, 6, 6, 6]",56.8917,0.5688,0.6771,0.5166,0:02:49,124332,6511848
0,9,"[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]","[3, 1, 6, 2, 3, 2, 3, 4, 1]",81.6462,0.7972,0.8825,0.7713,0:03:13,1463532,74201064
0,4,"[144, 144, 144, 144]","[3, 4, 4, 3]","[3, 1, 1, 5]",81.9770,0.8198,0.8698,0.7956,0:01:56,806128,39328128
0,5,"[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]","[6, 1, 6, 1, 5]",58.2773,0.5824,0.6686,0.5334,0:02:05,153799,7652442
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]","[3, 3, 4, 2, 1, 5, 4, 1, 5]",81.7496,0.7950,0.8925,0.7685,0:03:51,3480004,174289528
