,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,10,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]","[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]",90.1515,0.8999,0.8682,0.8885,0:01:26,4139899,207644724
0,6,"[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]","[4, 5, 1, 3, 4, 3]",82.4561,0.8246,0.6902,0.8039,0:00:50,166804,8561322
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]","[4, 6, 6, 6, 1, 5, 4, 3, 2]",86.8421,0.8684,0.8190,0.8533,0:01:11,1427202,72201598
0,8,"[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]","[4, 1, 3, 5, 3, 6, 1, 5]",87.9386,0.8794,0.8310,0.8654,0:01:04,852196,43347738
0,5,"[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]","[2, 2, 1, 5, 6]",78.2297,0.7823,0.6283,0.7563,0:00:47,236143,11793964
0,4,"[192, 192, 192, 192]","[6, 5, 4, 4]","[1, 6, 5, 6]",88.2177,0.8822,0.8348,0.8685,0:00:45,1991239,97515068
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]","[4, 5, 3, 4, 4, 6, 6, 6]",78.5287,0.7857,0.6339,0.7609,0:01:02,123465,6512520
0,9,"[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]","[3, 1, 6, 2, 3, 2, 3, 4, 1]",87.7592,0.8778,0.8203,0.8636,0:01:10,1460073,74203752
0,4,"[144, 144, 144, 144]","[3, 4, 4, 3]","[3, 1, 1, 5]",85.3070,0.8531,0.7931,0.8360,0:00:43,802237,39331152
0,5,"[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]","[6, 1, 6, 1, 5]",53.9872,0.5399,0.5035,0.4952,0:00:45,152500,7653450
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]","[3, 3, 4, 2, 1, 5, 4, 1, 5]",88.7161,0.8872,0.8393,0.8741,0:01:19,3474817,174293560
0,5,"[176, 176, 176, 176, 176]","[6, 4, 3, 6, 6]","[2, 3, 5, 3, 1]",88.1978,0.8804,0.8358,0.8665,0:00:52,1551605,76750912
0,10,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 5, 3, 5, 4, 4, 6, 5]","[5, 3, 6, 3, 4, 6, 3, 2, 5, 6]",89.1348,0.8913,0.8638,0.8789,0:01:25,3977222,199170454
0,6,"[240, 240, 240, 240, 240, 240]","[5, 6, 6, 3, 3, 4]","[6, 3, 5, 6, 5, 2]",89.3939,0.8939,0.8521,0.8818,0:01:06,4594093,227040240
