,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,10,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]","[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]",85.6207,0.8379,0.8765,0.7881,0:08:08,4162743,207650100
0,6,"[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]","[4, 5, 1, 3, 4, 3]",85.4157,0.8039,0.8757,0.7493,0:06:34,172512,8562666
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]","[4, 6, 6, 6, 1, 5, 4, 3, 2]",88.9887,0.8722,0.8872,0.8312,0:07:45,1440526,72204734
0,8,"[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]","[4, 1, 3, 5, 3, 6, 1, 5]",87.1506,0.8636,0.8888,0.8200,0:07:23,863616,43350426
0,5,"[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]","[2, 2, 1, 5, 6]",80.0885,0.8000,0.8760,0.7438,0:06:15,243755,11795756
0,4,"[192, 192, 192, 192]","[6, 5, 4, 4]","[1, 6, 5, 6]",87.3556,0.8619,0.8611,0.8173,0:06:06,2014083,97520444
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]","[4, 5, 3, 4, 4, 6, 6, 6]",86.8257,0.8571,0.8723,0.8109,0:07:23,127269,6513416
0,9,"[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]","[3, 1, 6, 2, 3, 2, 3, 4, 1]",88.7706,0.8842,0.8919,0.8464,0:07:50,1475301,74207336
0,4,"[144, 144, 144, 144]","[3, 4, 4, 3]","[3, 1, 1, 5]",87.8519,0.8677,0.8876,0.8267,0:05:59,819369,39335184
0,5,"[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]","[6, 1, 6, 1, 5]",80.6035,0.8061,0.8564,0.7443,0:06:15,158208,7654794
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]","[3, 3, 4, 2, 1, 5, 4, 1, 5]",89.6405,0.8887,0.8964,0.8526,0:07:50,3497661,174298936
0,5,"[176, 176, 176, 176, 176]","[6, 4, 3, 6, 6]","[2, 3, 5, 3, 1]",87.9956,0.8800,0.8614,0.8372,0:06:21,1572545,76755840
0,10,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 5, 3, 5, 4, 4, 6, 5]","[5, 3, 6, 3, 4, 6, 3, 2, 5, 6]",88.4856,0.7755,0.8736,0.7194,0:08:10,3998162,199175382
0,6,"[240, 240, 240, 240, 240, 240]","[5, 6, 6, 3, 3, 4]","[6, 3, 5, 6, 5, 2]",90.4830,0.8974,0.8929,0.8631,0:06:47,4622649,227046960
0,6,"[144, 144, 144, 144, 144, 144]","[6, 3, 6, 6, 3, 4]","[2, 2, 2, 6, 4, 4]",86.8494,0.8552,0.8828,0.8104,0:06:38,1404009,69167952
0,4,"[112, 112, 112, 112]","[6, 3, 3, 6]","[3, 6, 2, 4]",86.7125,0.8658,0.8822,0.8222,0:05:57,629755,30150876
0,6,"[32, 32, 32, 32, 32, 32]","[3, 4, 3, 6, 6, 5]","[4, 1, 4, 2, 5, 6]",79.2985,0.7802,0.8370,0.7143,0:06:36,85483,4221196
0,5,"[96, 96, 96, 96, 96]","[3, 4, 3, 4, 5]","[1, 6, 1, 6, 5]",87.6606,0.8736,0.8845,0.8313,0:06:16,584454,28467166
0,9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[3, 5, 4, 5, 3, 4, 5, 3, 3]","[2, 1, 4, 4, 6, 1, 1, 3, 4]",80.5910,0.8060,0.8245,0.7410,0:07:42,106431,5641412
0,5,"[160, 160, 160, 160, 160]","[3, 6, 6, 6, 5]","[6, 3, 5, 3, 3]",87.9419,0.8794,0.8644,0.8381,0:06:26,1611650,78625414
0,5,"[112, 112, 112, 112, 112]","[4, 4, 5, 5, 5]","[2, 4, 5, 3, 1]",87.0850,0.8675,0.8738,0.8227,0:06:17,682743,33254340
0,9,"[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 5, 6, 4, 5, 3, 6, 4, 3]","[1, 3, 5, 1, 1, 3, 2, 2, 5]",84.1108,0.8275,0.8829,0.7768,0:07:44,808704,41101914
0,5,"[160, 160, 160, 160, 160]","[5, 5, 6, 3, 3]","[5, 6, 1, 3, 4]",88.9381,0.8799,0.8797,0.8404,0:06:17,1564791,76369748
0,7,"[192, 192, 192, 192, 192, 192, 192]","[6, 6, 3, 5, 5, 4, 4]","[4, 3, 3, 1, 4, 1, 6]",89.7055,0.8855,0.8903,0.8489,0:07:04,2755773,136328248
0,8,"[176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 3, 6, 5, 6, 6]","[4, 6, 1, 1, 1, 2, 6, 2]",88.1531,0.8776,0.8773,0.8376,0:07:27,2503212,124550930
0,9,"[144, 144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 3, 3, 3, 6, 4, 3]","[6, 2, 4, 1, 3, 2, 3, 5, 2]",88.6968,0.8869,0.8821,0.8492,0:07:45,1987341,99560104
0,7,"[176, 176, 176, 176, 176, 176, 176]","[3, 4, 6, 6, 5, 4, 3]","[3, 2, 6, 1, 2, 5, 2]",89.7930,0.8924,0.8955,0.8570,0:07:06,2257710,111798974
0,7,"[112, 112, 112, 112, 112, 112, 112]","[6, 5, 6, 6, 4, 4, 3]","[2, 5, 4, 6, 6, 4, 5]",91.1448,0.9039,0.9076,0.8720,0:07:03,1209452,59904754
0,9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 5, 6, 3, 3, 3, 3, 4, 4]","[6, 3, 3, 1, 5, 2, 3, 5, 2]",84.0508,0.8406,0.8623,0.7893,0:07:43,114751,6042820
0,6,"[240, 240, 240, 240, 240, 240]","[6, 5, 6, 3, 3, 3]","[1, 4, 3, 2, 2, 6]",89.3605,0.8922,0.8908,0.8560,0:06:46,3583689,176243760
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 3, 3, 4, 5, 5, 5]","[2, 3, 5, 5, 4, 4, 4]",86.0332,0.8603,0.8848,0.8161,0:07:00,213582,10740030
0,7,"[128, 128, 128, 128, 128, 128, 128]","[4, 4, 5, 5, 3, 3, 6]","[3, 3, 4, 4, 4, 1, 2]",89.0680,0.8908,0.8964,0.8549,0:07:05,1210341,60132968
0,5,"[128, 128, 128, 128, 128]","[4, 5, 6, 3, 6]","[4, 5, 6, 1, 6]",86.6269,0.8568,0.8641,0.8102,0:06:21,1111406,54176430
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 5, 3, 5, 4, 6, 6]","[1, 1, 4, 2, 1, 1, 5]",80.3585,0.8036,0.8541,0.7447,0:06:58,158295,8073156
0,4,"[128, 128, 128, 128]","[5, 3, 5, 4]","[5, 6, 4, 5]",87.9606,0.8767,0.8716,0.8349,0:05:59,979441,47169136
0,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]","[4, 6, 5, 3, 3, 3, 6, 5, 3, 4]","[3, 6, 6, 1, 5, 2, 1, 4, 4, 3]",84.0183,0.8197,0.8755,0.7681,0:08:06,746933,38086776
0,4,"[128, 128, 128, 128]","[6, 5, 3, 4]","[6, 5, 6, 5]",86.4019,0.8632,0.8545,0.8157,0:06:02,1045748,50410290
0,8,"[48, 48, 48, 48, 48, 48, 48, 48]","[3, 6, 6, 6, 3, 6, 5, 5]","[4, 1, 1, 4, 1, 1, 4, 2]",84.0683,0.8299,0.8774,0.7795,0:07:22,181911,9432612
0,6,"[176, 176, 176, 176, 176, 176]","[5, 4, 3, 4, 5, 3]","[1, 1, 3, 6, 1, 3]",87.2081,0.8709,0.8833,0.8288,0:06:43,1761575,86786532
0,5,"[176, 176, 176, 176, 176]","[3, 3, 5, 5, 3]","[2, 1, 2, 6, 6]",89.9180,0.8992,0.8859,0.8647,0:06:20,1758929,85862784
0,5,"[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]","[2, 2, 4, 1, 4]",89.1593,0.8916,0.8955,0.8555,0:06:18,632794,30822470
