,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,10,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]","[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]",96.3720,0.9637,0.9861,0.9596,0:07:10,4145854,207640692
0,6,"[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]","[4, 5, 1, 3, 4, 3]",93.4482,0.9317,0.9723,0.9242,0:04:54,168295,8560314
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]","[4, 6, 6, 6, 1, 5, 4, 3, 2]",94.3108,0.9431,0.9752,0.9367,0:06:09,1430677,72199246
0,8,"[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]","[4, 1, 3, 5, 3, 6, 1, 5]",95.4753,0.9527,0.9791,0.9473,0:05:48,855175,43345722
0,5,"[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]","[2, 2, 1, 5, 6]",87.5546,0.8749,0.9508,0.8617,0:04:49,238130,11792620
0,4,"[192, 192, 192, 192]","[6, 5, 4, 4]","[1, 6, 5, 6]",93.2251,0.9209,0.9686,0.9122,0:05:14,1997194,97511036
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]","[4, 5, 3, 4, 4, 6, 6, 6]",76.7725,0.7677,0.9113,0.7456,0:05:18,124460,6511848
0,9,"[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]","[3, 1, 6, 2, 3, 2, 3, 4, 1]",90.0767,0.8938,0.9595,0.8824,0:06:05,1464044,74201064
0,4,"[144, 144, 144, 144]","[3, 4, 4, 3]","[3, 1, 1, 5]",88.6563,0.8866,0.9557,0.8745,0:04:49,806704,39328128
0,5,"[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]","[6, 1, 6, 1, 5]",73.1272,0.7312,0.8579,0.7057,0:04:49,153991,7652442
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]","[3, 3, 4, 2, 1, 5, 4, 1, 5]",91.6931,0.9169,0.9663,0.9078,0:06:54,3480772,174289528
0,5,"[176, 176, 176, 176, 176]","[6, 4, 3, 6, 6]","[2, 3, 5, 3, 1]",89.3791,0.8938,0.9595,0.8823,0:05:27,1557064,76747216
0,10,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 5, 3, 5, 4, 4, 6, 5]","[5, 3, 6, 3, 4, 6, 3, 2, 5, 6]",91.2402,0.9124,0.9624,0.9025,0:07:12,3982681,199166758
0,6,"[240, 240, 240, 240, 240, 240]","[5, 6, 6, 3, 3, 4]","[6, 3, 5, 6, 5, 2]",92.9007,0.9155,0.9664,0.9064,0:06:22,4601536,227035200
0,6,"[144, 144, 144, 144, 144, 144]","[6, 3, 6, 6, 3, 4]","[2, 2, 2, 6, 4, 4]",89.0004,0.8814,0.9564,0.8688,0:05:32,1391344,69160896
0,4,"[112, 112, 112, 112]","[6, 3, 3, 6]","[3, 6, 2, 4]",83.0918,0.8309,0.9325,0.8138,0:04:47,619906,30145388
0,6,"[32, 32, 32, 32, 32, 32]","[3, 4, 3, 6, 6, 5]","[4, 1, 4, 2, 5, 6]",73.3541,0.7334,0.8520,0.7078,0:04:54,82674,4219628
0,5,"[96, 96, 96, 96, 96]","[3, 4, 3, 4, 5]","[1, 6, 1, 6, 5]",78.2445,0.7824,0.9191,0.7616,0:04:53,576013,28462462
0,9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[3, 5, 4, 5, 3, 4, 5, 3, 3]","[2, 1, 4, 4, 6, 1, 1, 3, 4]",73.7151,0.7371,0.8629,0.7119,0:05:25,103622,5639844
0,5,"[160, 160, 160, 160, 160]","[3, 6, 6, 6, 5]","[6, 3, 5, 3, 3]",88.6492,0.8830,0.9552,0.8705,0:05:22,1597577,78617574
0,5,"[112, 112, 112, 112, 112]","[4, 4, 5, 5, 5]","[2, 4, 5, 3, 1]",86.0564,0.8606,0.9402,0.8460,0:04:59,672894,33248852
0,9,"[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 5, 6, 4, 5, 3, 6, 4, 3]","[1, 3, 5, 1, 1, 3, 2, 2, 5]",90.8511,0.9085,0.9619,0.8985,0:06:01,800263,41097210
0,5,"[160, 160, 160, 160, 160]","[5, 5, 6, 3, 3]","[5, 6, 1, 3, 4]",87.5199,0.8702,0.9508,0.8566,0:05:18,1550718,76361908
0,7,"[192, 192, 192, 192, 192, 192, 192]","[6, 6, 3, 5, 5, 4, 4]","[4, 3, 3, 1, 4, 1, 6]",91.6312,0.9163,0.9659,0.9071,0:06:15,2738884,136318840
0,8,"[176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 3, 6, 5, 6, 6]","[4, 6, 1, 1, 1, 2, 6, 2]",89.3576,0.8847,0.9564,0.8725,0:06:26,2487731,124542306
0,9,"[144, 144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 3, 3, 3, 6, 4, 3]","[6, 2, 4, 1, 3, 2, 3, 5, 2]",89.0613,0.8828,0.9568,0.8704,0:06:21,1974676,99553048
0,7,"[176, 176, 176, 176, 176, 176, 176]","[3, 4, 6, 6, 5, 4, 3]","[3, 2, 6, 1, 2, 5, 2]",91.9875,0.9199,0.9652,0.9109,0:06:08,2242229,111790350
0,7,"[112, 112, 112, 112, 112, 112, 112]","[6, 5, 6, 6, 4, 4, 3]","[2, 5, 4, 6, 6, 4, 5]",88.3178,0.8831,0.9560,0.8706,0:05:44,1199603,59899266
0,9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 5, 6, 3, 3, 3, 3, 4, 4]","[6, 3, 3, 1, 5, 2, 3, 5, 2]",75.0136,0.7501,0.8840,0.7263,0:05:29,111942,6041252
0,6,"[240, 240, 240, 240, 240, 240]","[6, 5, 6, 3, 3, 3]","[1, 4, 3, 2, 2, 6]",92.2537,0.9213,0.9682,0.9127,0:06:14,3562576,176232000
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 3, 3, 4, 5, 5, 5]","[2, 3, 5, 5, 4, 4, 4]",76.8775,0.7688,0.9107,0.7467,0:05:07,209365,10737678
0,7,"[128, 128, 128, 128, 128, 128, 128]","[4, 4, 5, 5, 3, 3, 6]","[3, 3, 4, 4, 4, 1, 2]",86.7042,0.8670,0.9511,0.8531,0:05:40,1199084,60126696
0,5,"[128, 128, 128, 128, 128]","[4, 5, 6, 3, 6]","[4, 5, 6, 1, 6]",87.3774,0.8667,0.9501,0.8528,0:05:08,1100149,54170158
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 5, 3, 5, 4, 6, 6]","[1, 1, 4, 2, 1, 1, 5]",76.4875,0.7649,0.9029,0.7424,0:05:09,154078,8070804
0,4,"[128, 128, 128, 128]","[5, 3, 5, 4]","[5, 6, 4, 5]",84.7803,0.8478,0.9420,0.8322,0:04:51,968184,47162864
0,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]","[4, 6, 5, 3, 3, 3, 6, 5, 3, 4]","[3, 6, 6, 1, 5, 2, 1, 4, 4, 3]",82.9249,0.8293,0.9413,0.8123,0:06:08,739900,38082856
0,4,"[128, 128, 128, 128]","[6, 5, 3, 4]","[6, 5, 6, 5]",88.4556,0.8845,0.9562,0.8723,0:04:53,1034491,50404018
0,8,"[48, 48, 48, 48, 48, 48, 48, 48]","[3, 6, 6, 6, 3, 6, 5, 5]","[4, 1, 1, 4, 1, 1, 4, 2]",76.8287,0.7683,0.9100,0.7461,0:05:28,177694,9430260
0,6,"[176, 176, 176, 176, 176, 176]","[5, 4, 3, 4, 5, 3]","[1, 1, 3, 6, 1, 3]",92.2416,0.9224,0.9679,0.9138,0:05:49,1746094,86777908
0,5,"[176, 176, 176, 176, 176]","[3, 3, 5, 5, 3]","[2, 1, 2, 6, 6]",90.2970,0.8963,0.9579,0.8851,0:05:26,1743448,85854160
0,5,"[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]","[2, 2, 4, 1, 4]",85.8520,0.8467,0.9380,0.8310,0:05:00,622945,30816982
0,6,"[64, 64, 64, 64, 64, 64]","[4, 3, 3, 5, 4, 6]","[4, 3, 3, 5, 6, 3]",79.4877,0.7949,0.9193,0.7749,0:05:00,321138,16114028
0,5,"[64, 64, 64, 64, 64]","[4, 5, 5, 6, 3]","[2, 3, 5, 2, 2]",76.1987,0.7619,0.8963,0.7392,0:04:50,220841,10937766
0,8,"[192, 192, 192, 192, 192, 192, 192, 192]","[6, 4, 6, 5, 5, 3, 4, 6]","[1, 4, 1, 6, 1, 2, 4, 3]",91.0443,0.8999,0.9621,0.8892,0:06:33,2888068,144466168
