,mlp_ratio,embed_dim,num_heads,layer_num,id,jacob_cov
0,"[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]","[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]",10,0,2003.6879
1,"[4, 5, 1, 3, 4, 3]","[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]",6,1,6062.0441
2,"[4, 6, 6, 6, 1, 5, 4, 3, 2]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]",9,2,2306.2957
3,"[4, 1, 3, 5, 3, 6, 1, 5]","[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]",8,3,3009.7023
4,"[2, 2, 1, 5, 6]","[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]",5,4,5798.1402
5,"[1, 6, 5, 6]","[192, 192, 192, 192]","[6, 5, 4, 4]",4,5,3448.6261
6,"[4, 5, 3, 4, 4, 6, 6, 6]","[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]",8,6,4428.5529
7,"[3, 1, 6, 2, 3, 2, 3, 4, 1]","[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]",9,7,2231.1401
8,"[3, 1, 1, 5]","[144, 144, 144, 144]","[3, 4, 4, 3]",4,8,4702.6241
9,"[6, 1, 6, 1, 5]","[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]",5,9,7809.4748
10,"[3, 3, 4, 2, 1, 5, 4, 1, 5]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]",9,10,2348.2574
11,"[2, 3, 5, 3, 1]","[176, 176, 176, 176, 176]","[6, 4, 3, 6, 6]",5,11,3668.4792
12,"[5, 3, 6, 3, 4, 6, 3, 2, 5, 6]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 5, 3, 5, 4, 4, 6, 5]",10,12,1926.3473
13,"[6, 3, 5, 6, 5, 2]","[240, 240, 240, 240, 240, 240]","[5, 6, 6, 3, 3, 4]",6,13,3048.8487
14,"[2, 2, 2, 6, 4, 4]","[144, 144, 144, 144, 144, 144]","[6, 3, 6, 6, 3, 4]",6,14,3595.3943
15,"[3, 6, 2, 4]","[112, 112, 112, 112]","[6, 3, 3, 6]",4,15,5640.7876
16,"[4, 1, 4, 2, 5, 6]","[32, 32, 32, 32, 32, 32]","[3, 4, 3, 6, 6, 5]",6,16,8327.0449
17,"[1, 6, 1, 6, 5]","[96, 96, 96, 96, 96]","[3, 4, 3, 4, 5]",5,17,4409.5789
18,"[2, 1, 4, 4, 6, 1, 1, 3, 4]","[32, 32, 32, 32, 32, 32, 32, 32, 32]","[3, 5, 4, 5, 3, 4, 5, 3, 3]",9,18,3832.3971
19,"[6, 3, 5, 3, 3]","[160, 160, 160, 160, 160]","[3, 6, 6, 6, 5]",5,19,4441.2146
20,"[2, 4, 5, 3, 1]","[112, 112, 112, 112, 112]","[4, 4, 5, 5, 5]",5,0,4689.2761
21,"[1, 3, 5, 1, 1, 3, 2, 2, 5]","[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 5, 6, 4, 5, 3, 6, 4, 3]",9,1,2253.2384
22,"[5, 6, 1, 3, 4]","[160, 160, 160, 160, 160]","[5, 5, 6, 3, 3]",5,2,4880.1847
23,"[4, 3, 3, 1, 4, 1, 6]","[192, 192, 192, 192, 192, 192, 192]","[6, 6, 3, 5, 5, 4, 4]",7,3,2711.1288
24,"[4, 6, 1, 1, 1, 2, 6, 2]","[176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 3, 6, 5, 6, 6]",8,4,3112.7316
25,"[6, 2, 4, 1, 3, 2, 3, 5, 2]","[144, 144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 3, 3, 3, 6, 4, 3]",9,5,2595.923
26,"[3, 2, 6, 1, 2, 5, 2]","[176, 176, 176, 176, 176, 176, 176]","[3, 4, 6, 6, 5, 4, 3]",7,6,2557.0117
27,"[2, 5, 4, 6, 6, 4, 5]","[112, 112, 112, 112, 112, 112, 112]","[6, 5, 6, 6, 4, 4, 3]",7,7,2229.494
28,"[6, 3, 3, 1, 5, 2, 3, 5, 2]","[32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 5, 6, 3, 3, 3, 3, 4, 4]",9,8,4157.5529
29,"[1, 4, 3, 2, 2, 6]","[240, 240, 240, 240, 240, 240]","[6, 5, 6, 3, 3, 3]",6,9,3157.4106
30,"[2, 3, 5, 5, 4, 4, 4]","[48, 48, 48, 48, 48, 48, 48]","[4, 3, 3, 4, 5, 5, 5]",7,10,2629.087
31,"[3, 3, 4, 4, 4, 1, 2]","[128, 128, 128, 128, 128, 128, 128]","[4, 4, 5, 5, 3, 3, 6]",7,11,3219.4473
32,"[4, 5, 6, 1, 6]","[128, 128, 128, 128, 128]","[4, 5, 6, 3, 6]",5,12,5294.0967
33,"[1, 1, 4, 2, 1, 1, 5]","[48, 48, 48, 48, 48, 48, 48]","[4, 5, 3, 5, 4, 6, 6]",7,13,3300.526
34,"[5, 6, 4, 5]","[128, 128, 128, 128]","[5, 3, 5, 4]",4,14,5044.4804
35,"[3, 6, 6, 1, 5, 2, 1, 4, 4, 3]","[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]","[4, 6, 5, 3, 3, 3, 6, 5, 3, 4]",10,15,2411.6229
36,"[6, 5, 6, 5]","[128, 128, 128, 128]","[6, 5, 3, 4]",4,16,4538.0197
37,"[4, 1, 1, 4, 1, 1, 4, 2]","[48, 48, 48, 48, 48, 48, 48, 48]","[3, 6, 6, 6, 3, 6, 5, 5]",8,17,3146.444
38,"[1, 1, 3, 6, 1, 3]","[176, 176, 176, 176, 176, 176]","[5, 4, 3, 4, 5, 3]",6,18,3095.2057
39,"[2, 1, 2, 6, 6]","[176, 176, 176, 176, 176]","[3, 3, 5, 5, 3]",5,19,3376.4116
40,"[2, 2, 4, 1, 4]","[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]",5,0,5188.5903
41,"[4, 3, 3, 5, 6, 3]","[64, 64, 64, 64, 64, 64]","[4, 3, 3, 5, 4, 6]",6,1,4449.543
42,"[2, 3, 5, 2, 2]","[64, 64, 64, 64, 64]","[4, 5, 5, 6, 3]",5,2,6131.8178
43,"[1, 4, 1, 6, 1, 2, 4, 3]","[192, 192, 192, 192, 192, 192, 192, 192]","[6, 4, 6, 5, 5, 3, 4, 6]",8,3,2647.6632
44,"[6, 5, 1, 4, 4, 1]","[144, 144, 144, 144, 144, 144]","[6, 5, 6, 4, 5, 5]",6,4,5147.9152
45,"[2, 1, 3, 1]","[128, 128, 128, 128]","[4, 6, 6, 4]",4,5,7033.7641
46,"[2, 2, 4, 3, 5, 2, 3]","[176, 176, 176, 176, 176, 176, 176]","[6, 3, 6, 4, 5, 3, 6]",7,6,2821.3245
47,"[1, 2, 3, 1, 6, 3, 5]","[96, 96, 96, 96, 96, 96, 96]","[4, 6, 6, 3, 6, 4, 6]",7,7,2368.8985
48,"[1, 1, 3, 6, 1, 1, 3, 4, 5]","[48, 48, 48, 48, 48, 48, 48, 48, 48]","[6, 6, 3, 5, 5, 5, 4, 3, 3]",9,8,2667.6821
49,"[3, 3, 5, 3, 1, 5, 2, 2, 1, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 5, 4, 4, 3, 6, 6, 5, 5, 6]",10,9,1637.9806
50,"[6, 2, 2, 1, 6, 1, 4, 4]","[144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 5, 6, 6, 4, 6]",8,10,3036.644
51,"[5, 3, 4, 6, 1, 4, 3, 2, 6]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[6, 3, 4, 3, 5, 6, 6, 3, 3]",9,11,2369.1961
52,"[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]",10,12,1990.964
53,"[4, 2, 3, 4, 6, 6]","[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]",6,13,3649.7254
54,"[4, 3, 4, 4, 4]","[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]",5,14,3716.2127
55,"[1, 4, 1, 2, 6, 1, 2, 3, 1]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]",9,15,2874.488
56,"[5, 6, 6, 5, 6, 4, 5, 4, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]",9,16,2015.7251
57,"[3, 6, 1, 2]","[160, 160, 160, 160]","[3, 6, 4, 6]",4,17,6674.0708
58,"[4, 2, 3, 5, 1]","[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]",5,18,4706.7129
59,"[5, 1, 2, 3]","[80, 80, 80, 80]","[3, 4, 5, 4]",4,19,5842.1683
60,"[6, 6, 6, 3, 3, 5]","[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]",6,0,3170.3409
61,"[1, 1, 4, 4, 6, 4, 1, 4]","[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]",8,1,3302.1835
62,"[2, 4, 5, 1, 4, 5, 4]","[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]",7,2,2409.0602
63,"[4, 1, 5, 3, 5, 5]","[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]",6,3,3664.8498
64,"[1, 5, 6, 1]","[96, 96, 96, 96]","[4, 6, 4, 4]",4,4,6222.1189
65,"[6, 1, 6, 5, 5, 4, 1, 1, 4]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]",9,5,2352.6704
66,"[2, 3, 6, 4, 3, 5]","[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]",6,6,3817.6062
67,"[2, 2, 5, 1, 2, 2, 4]","[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]",7,7,2574.5971
68,"[1, 5, 1, 5, 5, 3, 4]","[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]",7,8,3054.542
69,"[6, 1, 3, 2, 5, 4]","[32, 32, 32, 32, 32, 32]","[4, 5, 5, 6, 3, 4]",6,9,10155.3111
70,"[6, 6, 2, 3, 4, 6]","[112, 112, 112, 112, 112, 112]","[4, 5, 5, 4, 5, 3]",6,10,3459.8684
71,"[5, 1, 6, 6, 2, 3, 1, 4]","[32, 32, 32, 32, 32, 32, 32, 32]","[3, 3, 4, 3, 3, 4, 5, 3]",8,11,5830.0535
72,"[6, 4, 2, 2, 4, 4]","[128, 128, 128, 128, 128, 128]","[4, 5, 5, 4, 5, 6]",6,12,3939.809
73,"[4, 3, 5, 5]","[128, 128, 128, 128]","[6, 3, 3, 6]",4,13,4258.4702
74,"[1, 5, 2, 5, 6]","[80, 80, 80, 80, 80]","[4, 3, 5, 4, 4]",5,14,4710.8229
75,"[2, 6, 6, 5]","[176, 176, 176, 176]","[4, 3, 6, 3]",4,15,3702.5716
76,"[4, 6, 2, 5, 5, 1, 3, 3, 6]","[80, 80, 80, 80, 80, 80, 80, 80, 80]","[6, 3, 3, 6, 3, 5, 5, 4, 6]",9,16,2597.7238
77,"[3, 2, 6, 4, 3, 3, 4, 4]","[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 5, 6, 3, 5, 3, 6]",8,17,2338.6757
78,"[1, 4, 3, 4, 1, 1, 3, 6, 1]","[80, 80, 80, 80, 80, 80, 80, 80, 80]","[5, 5, 4, 5, 6, 5, 4, 3, 5]",9,18,3249.7029
79,"[6, 6, 5, 6, 3, 2, 2, 3]","[144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 5, 5, 5, 5, 5]",8,19,3428.3248
80,"[4, 5, 4, 2, 1, 2, 5, 1, 4, 2]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 3, 6, 5, 4, 3, 6, 5, 4, 4]",10,0,2606.5484
81,"[6, 2, 5, 1, 5, 6, 5, 5, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 5, 5, 5, 3, 6, 5, 5, 5]",9,1,2019.2424
82,"[6, 4, 2, 1, 5]","[160, 160, 160, 160, 160]","[4, 6, 5, 6, 3]",5,2,5522.6719
83,"[6, 5, 2, 1, 3, 5, 2]","[64, 64, 64, 64, 64, 64, 64]","[4, 5, 6, 3, 4, 4, 5]",7,3,4231.3061
84,"[4, 1, 5, 4, 2, 6, 6, 4, 5, 6]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 3, 6, 6, 5, 5, 6]",10,4,1690.7292
85,"[3, 1, 3, 1, 4, 1, 3, 2]","[176, 176, 176, 176, 176, 176, 176, 176]","[6, 6, 6, 6, 3, 6, 5, 4]",8,5,2735.4171
86,"[3, 3, 1, 4, 4, 5, 2, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32, 32]","[5, 5, 3, 3, 4, 3, 6, 3, 5]",9,6,4706.6927
87,"[4, 2, 6, 3, 4, 6]","[64, 64, 64, 64, 64, 64]","[4, 4, 6, 5, 3, 4]",6,7,3451.0034
88,"[4, 6, 6, 6, 6]","[176, 176, 176, 176, 176]","[3, 3, 6, 4, 5]",5,8,3791.907
89,"[1, 1, 5, 2, 3, 2, 3, 3, 6, 6]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 4, 6, 4, 3, 4, 3, 5]",10,9,2212.9525
90,"[6, 4, 5, 2, 4]","[160, 160, 160, 160, 160]","[4, 5, 4, 6, 3]",5,10,4972.1442
91,"[5, 3, 1, 1]","[112, 112, 112, 112]","[3, 6, 5, 6]",4,11,9886.1847
92,"[4, 5, 3, 6, 1, 2, 3, 1, 2, 6]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 3, 5, 4, 3, 6, 3, 5, 6, 3]",10,12,2073.2559
93,"[6, 2, 3, 1, 4, 1, 4, 3, 5, 5]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 6, 4, 3, 6, 5, 4, 6]",10,13,2457.4198
94,"[1, 1, 1, 3, 1, 2]","[48, 48, 48, 48, 48, 48]","[6, 3, 5, 6, 6, 6]",6,14,6752.3785
95,"[1, 5, 4, 3, 1, 6, 5, 1, 1, 3]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[5, 3, 6, 3, 4, 5, 3, 3, 6, 5]",10,15,2162.1523
96,"[6, 2, 2, 2, 2, 6, 6, 2]","[112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 6, 6, 3, 4, 4, 5]",8,16,2288.6346
97,"[2, 3, 2, 2, 4]","[64, 64, 64, 64, 64]","[6, 5, 4, 6, 3]",5,17,7238.3865
98,"[1, 6, 4, 6, 2, 2, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 3, 3, 3, 4, 4, 6]",8,18,8131.8858
99,"[4, 5, 6, 3, 6, 2, 2]","[48, 48, 48, 48, 48, 48, 48]","[5, 4, 6, 3, 4, 6, 5]",7,19,3999.9637
100,"[4, 2, 4, 4, 2, 4, 2]","[176, 176, 176, 176, 176, 176, 176]","[6, 6, 3, 5, 5, 5, 3]",7,0,2893.2609
101,"[4, 2, 3, 1, 5, 3, 4, 6]","[48, 48, 48, 48, 48, 48, 48, 48]","[3, 3, 4, 6, 3, 6, 6, 6]",8,1,3445.4571
102,"[4, 5, 4, 2, 2, 3, 4, 4, 2]","[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 3, 5, 5, 4, 5, 6, 3, 4]",9,2,2273.876
103,"[6, 5, 3, 3, 4]","[96, 96, 96, 96, 96]","[3, 5, 6, 3, 6]",5,3,4880.6863
104,"[6, 2, 3, 2, 2, 1, 5]","[192, 192, 192, 192, 192, 192, 192]","[5, 4, 3, 6, 6, 6, 3]",7,4,2724.1358
105,"[6, 6, 1, 4, 5, 6, 5, 2, 2]","[240, 240, 240, 240, 240, 240, 240, 240, 240]","[4, 4, 4, 4, 3, 4, 6, 5, 5]",9,5,2492.7812
106,"[3, 6, 1, 4, 3, 2, 3, 6, 5, 3]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[4, 6, 5, 4, 6, 5, 6, 6, 5, 6]",10,6,2088.7408
107,"[1, 6, 2, 2, 1, 5, 5, 6, 6, 5]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 3, 5, 4, 6, 3, 3, 3, 3]",10,7,1465.103
108,"[6, 4, 3, 1, 6, 4, 3, 5, 6, 3]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 4, 4, 3, 4, 3, 4, 6, 4, 6]",10,8,2059.8595
109,"[4, 3, 1, 5, 2, 4, 2, 4, 5]","[176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 6, 5, 4, 6, 3, 6]",9,9,2470.5514
110,"[3, 5, 4, 5]","[80, 80, 80, 80]","[6, 6, 5, 4]",4,10,4823.4439
111,"[3, 2, 3, 5, 2, 4, 1, 1]","[96, 96, 96, 96, 96, 96, 96, 96]","[6, 6, 6, 3, 5, 6, 4, 3]",8,11,3203.9061
112,"[3, 1, 2, 6, 1]","[160, 160, 160, 160, 160]","[4, 4, 3, 3, 6]",5,12,3716.8277
113,"[5, 4, 6, 6, 1, 4, 5, 3, 3]","[144, 144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 4, 6, 5, 5, 4, 3]",9,13,2490.1704
114,"[5, 3, 1, 1, 3, 5]","[96, 96, 96, 96, 96, 96]","[6, 4, 5, 6, 4, 4]",6,14,4056.4895
115,"[6, 4, 6, 3, 3]","[160, 160, 160, 160, 160]","[6, 4, 3, 6, 5]",5,15,4599.5083
116,"[4, 2, 6, 6, 3, 6, 3, 4, 3, 3]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 5, 3, 6, 5, 3, 6, 4, 5, 4]",10,16,1713.1207
117,"[3, 4, 2, 1, 6]","[192, 192, 192, 192, 192]","[6, 6, 6, 6, 4]",5,17,5399.7113
118,"[5, 3, 4, 2, 3, 5, 6]","[32, 32, 32, 32, 32, 32, 32]","[3, 3, 6, 5, 6, 4, 6]",7,18,5044.5907
119,"[1, 4, 1, 3, 2, 6, 3, 2]","[160, 160, 160, 160, 160, 160, 160, 160]","[3, 4, 5, 3, 4, 3, 3, 6]",8,19,3193.7557
120,"[2, 1, 5, 5]","[32, 32, 32, 32]","[4, 3, 6, 4]",4,0,13569.7088
121,"[5, 4, 1, 5, 2, 2, 2, 4]","[32, 32, 32, 32, 32, 32, 32, 32]","[6, 6, 3, 6, 4, 6, 3, 5]",8,1,7047.0283
122,"[3, 6, 3, 3, 6, 4, 6, 2]","[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 3, 3, 5, 3, 4, 4]",8,2,2547.4157
123,"[5, 6, 3, 2, 4]","[144, 144, 144, 144, 144]","[3, 3, 6, 3, 6]",5,3,5618.5954
124,"[4, 5, 3, 2, 4]","[144, 144, 144, 144, 144]","[5, 6, 3, 5, 4]",5,4,5571.4457
125,"[3, 4, 4, 1, 4]","[80, 80, 80, 80, 80]","[3, 6, 6, 4, 6]",5,5,5777.889
126,"[4, 4, 2, 2, 4, 3]","[160, 160, 160, 160, 160, 160]","[5, 6, 4, 3, 4, 5]",6,6,3943.8172
127,"[6, 1, 1, 2, 3, 1, 3, 5, 2]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 6, 4, 6, 6, 4, 4, 6, 3]",9,7,2539.2774
128,"[6, 5, 2, 6, 3, 2, 5, 5, 6, 5]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 4, 6, 4, 6, 3, 4, 6, 5, 4]",10,8,2470.7071
129,"[1, 2, 2, 4]","[192, 192, 192, 192]","[4, 3, 6, 5]",4,9,4013.7874
130,"[4, 6, 2, 2, 3, 5]","[48, 48, 48, 48, 48, 48]","[5, 6, 6, 6, 5, 6]",6,10,5198.0033
131,"[2, 1, 2, 4, 4]","[80, 80, 80, 80, 80]","[4, 5, 3, 3, 6]",5,11,5301.9405
132,"[4, 5, 5, 4]","[96, 96, 96, 96]","[4, 3, 4, 6]",4,12,4599.2477
133,"[5, 5, 1, 1, 5, 6, 4]","[80, 80, 80, 80, 80, 80, 80]","[3, 4, 6, 5, 5, 3, 3]",7,13,3382.3549
134,"[1, 5, 5, 3, 2, 4, 3, 1]","[48, 48, 48, 48, 48, 48, 48, 48]","[6, 5, 4, 6, 6, 5, 4, 5]",8,14,3277.682
135,"[2, 3, 6, 5]","[112, 112, 112, 112]","[6, 3, 6, 6]",4,15,3930.0913
136,"[6, 1, 1, 4, 5, 6, 2]","[96, 96, 96, 96, 96, 96, 96]","[4, 3, 3, 6, 4, 3, 5]",7,16,3010.0824
137,"[1, 3, 3, 3, 5, 6, 2]","[112, 112, 112, 112, 112, 112, 112]","[3, 5, 3, 4, 6, 3, 5]",7,17,2583.0473
138,"[3, 1, 5, 5, 4]","[144, 144, 144, 144, 144]","[3, 5, 3, 3, 4]",5,18,3916.7039
139,"[5, 2, 3, 1]","[80, 80, 80, 80]","[4, 4, 4, 6]",4,19,8624.7576
140,"[6, 6, 4, 3, 2, 3, 6, 3]","[192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 6, 5, 4, 5, 3, 3]",8,0,2698.8101
141,"[3, 3, 6, 3, 1, 1, 5, 1, 3, 1]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 5, 4, 5, 6, 3, 6, 6, 3, 3]",10,1,2022.4231
142,"[3, 2, 3, 2, 6, 4, 6]","[112, 112, 112, 112, 112, 112, 112]","[5, 3, 3, 3, 5, 3, 5]",7,2,2144.705
143,"[6, 3, 1, 6, 2, 6, 5, 2]","[160, 160, 160, 160, 160, 160, 160, 160]","[5, 3, 6, 6, 5, 4, 5, 5]",8,3,2962.0892
144,"[4, 6, 1, 4, 3, 2, 5]","[96, 96, 96, 96, 96, 96, 96]","[3, 4, 6, 6, 3, 4, 3]",7,4,2752.2266
145,"[2, 2, 4, 1]","[144, 144, 144, 144]","[5, 6, 3, 4]",4,5,6473.5392
146,"[3, 4, 4, 4, 6, 1]","[96, 96, 96, 96, 96, 96]","[4, 5, 4, 4, 4, 4]",6,6,3952.5912
147,"[2, 2, 5, 3, 5, 1, 2, 2, 6, 4]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[4, 4, 4, 4, 4, 5, 3, 6, 4, 3]",10,7,2219.0401
148,"[4, 5, 4, 2, 4]","[48, 48, 48, 48, 48]","[6, 3, 4, 3, 3]",5,8,8059.9932
149,"[6, 2, 6, 4]","[192, 192, 192, 192]","[6, 5, 6, 5]",4,9,3537.531
150,"[3, 6, 1, 2, 5, 2, 6]","[240, 240, 240, 240, 240, 240, 240]","[4, 3, 3, 3, 6, 4, 6]",7,10,2614.119
151,"[6, 2, 5, 6, 5, 3, 1, 5, 2, 3]","[144, 144, 144, 144, 144, 144, 144, 144, 144, 144]","[5, 5, 5, 5, 4, 3, 6, 4, 6, 5]",10,11,2272.127
152,"[4, 2, 4, 3, 6, 3]","[80, 80, 80, 80, 80, 80]","[5, 6, 6, 6, 5, 4]",6,12,3678.8968
153,"[2, 3, 5, 2, 5, 2, 5]","[240, 240, 240, 240, 240, 240, 240]","[6, 5, 5, 6, 5, 6, 3]",7,13,2182.6568
154,"[3, 4, 6, 1, 1]","[64, 64, 64, 64, 64]","[4, 3, 5, 3, 4]",5,14,8252.1218
155,"[2, 6, 3, 5, 3, 1, 6, 6]","[112, 112, 112, 112, 112, 112, 112, 112]","[3, 3, 4, 5, 4, 6, 6, 5]",8,15,2191.3723
156,"[5, 4, 1, 6]","[112, 112, 112, 112]","[3, 4, 3, 5]",4,16,4499.7774
157,"[2, 4, 2, 3, 2, 2, 4, 6, 2]","[96, 96, 96, 96, 96, 96, 96, 96, 96]","[6, 4, 3, 3, 6, 3, 4, 3, 6]",9,17,2294.3666
158,"[6, 6, 5, 2, 6, 1]","[176, 176, 176, 176, 176, 176]","[5, 4, 5, 5, 6, 6]",6,18,4488.6271
159,"[3, 6, 1, 4, 2, 1]","[64, 64, 64, 64, 64, 64]","[5, 6, 6, 6, 4, 6]",6,19,5803.8608
160,"[6, 1, 5, 1, 2, 6, 4, 3, 6]","[176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 5, 5, 3, 5, 3, 3, 3]",9,0,2495.4482
161,"[2, 1, 4, 4]","[48, 48, 48, 48]","[6, 3, 5, 4]",4,1,7744.2619
162,"[4, 6, 5, 6, 2, 1, 2, 4, 1]","[160, 160, 160, 160, 160, 160, 160, 160, 160]","[3, 6, 4, 5, 6, 6, 3, 6, 4]",9,2,2859.9658
163,"[6, 2, 5, 2, 1]","[128, 128, 128, 128, 128]","[6, 5, 5, 5, 4]",5,3,4687.0957
164,"[1, 6, 1, 5, 1, 1, 6, 3, 2]","[48, 48, 48, 48, 48, 48, 48, 48, 48]","[4, 4, 3, 5, 3, 5, 4, 5, 3]",9,4,2645.6872
165,"[2, 3, 4, 3, 6, 4]","[128, 128, 128, 128, 128, 128]","[6, 3, 3, 5, 6, 6]",6,5,3248.17
