,mlp_ratio,embed_dim,num_heads,layer_num,id,zico
0,"[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]","[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]",10,0,490.6342
1,"[4, 5, 1, 3, 4, 3]","[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]",6,1,231.0824
2,"[4, 6, 6, 6, 1, 5, 4, 3, 2]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]",9,2,404.0369
3,"[4, 1, 3, 5, 3, 6, 1, 5]","[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]",8,3,347.7898
4,"[2, 2, 1, 5, 6]","[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]",5,4,204.4682
5,"[1, 6, 5, 6]","[192, 192, 192, 192]","[6, 5, 4, 4]",4,5,208.147
6,"[4, 5, 3, 4, 4, 6, 6, 6]","[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]",8,6,278.8826
7,"[3, 1, 6, 2, 3, 2, 3, 4, 1]","[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]",9,7,407.3771
8,"[3, 1, 1, 5]","[144, 144, 144, 144]","[3, 4, 4, 3]",4,8,193.6714
9,"[6, 1, 6, 1, 5]","[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]",5,9,193.9205
10,"[3, 3, 4, 2, 1, 5, 4, 1, 5]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]",9,10,437.9241
11,"[2, 3, 5, 3, 1]","[176, 176, 176, 176, 176]","[6, 4, 3, 6, 6]",5,11,245.9753
12,"[5, 3, 6, 3, 4, 6, 3, 2, 5, 6]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 5, 3, 5, 4, 4, 6, 5]",10,12,491.0855
13,"[6, 3, 5, 6, 5, 2]","[240, 240, 240, 240, 240, 240]","[5, 6, 6, 3, 3, 4]",6,13,314.558
14,"[2, 2, 2, 6, 4, 4]","[144, 144, 144, 144, 144, 144]","[6, 3, 6, 6, 3, 4]",6,14,284.6601
15,"[3, 6, 2, 4]","[112, 112, 112, 112]","[6, 3, 3, 6]",4,15,187.2205
16,"[4, 1, 4, 2, 5, 6]","[32, 32, 32, 32, 32, 32]","[3, 4, 3, 6, 6, 5]",6,16,207.3887
17,"[1, 6, 1, 6, 5]","[96, 96, 96, 96, 96]","[3, 4, 3, 4, 5]",5,17,223.9809
18,"[2, 1, 4, 4, 6, 1, 1, 3, 4]","[32, 32, 32, 32, 32, 32, 32, 32, 32]","[3, 5, 4, 5, 3, 4, 5, 3, 3]",9,18,300.0233
19,"[6, 3, 5, 3, 3]","[160, 160, 160, 160, 160]","[3, 6, 6, 6, 5]",5,19,246.682
20,"[2, 4, 5, 3, 1]","[112, 112, 112, 112, 112]","[4, 4, 5, 5, 5]",5,0,226.545
21,"[1, 3, 5, 1, 1, 3, 2, 2, 5]","[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 5, 6, 4, 5, 3, 6, 4, 3]",9,1,384.9362
22,"[5, 6, 1, 3, 4]","[160, 160, 160, 160, 160]","[5, 5, 6, 3, 3]",5,2,244.2001
23,"[4, 3, 3, 1, 4, 1, 6]","[192, 192, 192, 192, 192, 192, 192]","[6, 6, 3, 5, 5, 4, 4]",7,3,345.5536
24,"[4, 6, 1, 1, 1, 2, 6, 2]","[176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 3, 6, 5, 6, 6]",8,4,385.0191
25,"[6, 2, 4, 1, 3, 2, 3, 5, 2]","[144, 144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 3, 3, 3, 6, 4, 3]",9,5,415.6883
