layer_num,embed_dim,num_heads,mlp_ratio,dss,OA,flops,grasp,snip,zico,grad_norm,fisher,synflow,jacob_cov,zico_modified,zico_act,t_cet,NASWOT,croze,m_size,logsynflow
10,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]","[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]",1433.3148193359375,0.8073,207640692,-12.85732650756836,88.66719818115234,492.0575,23.353805541992188,0.2608068287372589,3.562896661239068,-358.21528468824255,247.19,9.815588372093025,550.35315,217.5002947088824,953.1782836914062,20468560,1.068497423880013
6,"[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]","[4, 5, 1, 3, 4, 3]",56.80677032470703,0.7741,8560314,-0.3119486570358276,1.873407006263733,230.5656,1.9421064853668213,0.0123917134478688,1.263430990120355,-1378.4133644882409,209.6713,8.57544074074074,349.50607,186.3498078890172,489.81243896484375,2174272,0.6608083448738853
9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]","[4, 6, 6, 6, 1, 5, 4, 3, 2]",359.36083984375,0.8103,72199246,-4.609591960906982,29.49004173278809,407.8595,12.18298625946045,0.0673702582716941,2.3535921050190467,-478.3112417067065,235.4544,9.660305128205128,517.41205,209.7820117214704,818.3213500976562,9792016,0.8741590184407144
8,"[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]","[4, 1, 3, 5, 3, 6, 1, 5]",236.5555725097656,0.8126,43345722,-2.5441486835479736,13.602511405944824,344.2244,7.100584030151367,0.0389594547450542,2.042306659058781,-603.0848216384578,228.4265,9.420971428571429,454.85117,202.8602703509999,703.516357421875,7855600,0.8229160366517476
5,"[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]","[2, 2, 1, 5, 6]",97.40911102294922,0.6311,11792620,-0.5582718849182129,3.019545555114746,209.2802,2.3197951316833496,0.0147390579804778,1.551008108537644,-1420.692857794637,207.2231,8.711734782608696,293.8181,187.3976988032162,430.7544860839844,1907344,0.7417426400006661
4,"[192, 192, 192, 192]","[6, 5, 4, 4]","[1, 6, 5, 6]",1434.698486328125,0.8003,97511036,-7.971157550811768,38.7798957824707,206.4398,9.9126558303833,0.0944683104753494,3.5614296263374854,-705.4725904812312,217.3837,9.622815789473684,224.37686,206.85167689995245,408.83978271484375,4156624,1.0689630055858288
8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]","[4, 5, 3, 4, 4, 6, 6, 6]",30.397113800048828,0.5688,6511848,-0.4454850256443023,1.9433555603027344,279.5638,2.3825061321258545,0.0244991388171911,1.020404960201699,-696.7447670243495,210.7105,8.444442857142857,496.8363,190.14673800505489,593.34130859375,2510000,0.6338704022924446
9,"[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]","[3, 1, 6, 2, 3, 2, 3, 4, 1]",482.7309875488281,0.7972,74201064,-5.127947807312012,29.467761993408203,406.6579,12.52549171447754,0.0960016027092933,2.546973008269269,-508.62729335069855,235.9483,9.724835897435897,502.56418,205.6503222188057,805.2471923828125,9323152,0.9312834835217956
4,"[144, 144, 144, 144]","[3, 4, 4, 3]","[3, 1, 1, 5]",679.08056640625,0.8198,39328128,-3.319331169128418,13.37575912475586,191.367,5.440966606140137,0.0899648740887641,2.8287447939801496,-752.7891532337594,213.6892,9.233463157894738,227.38448,192.84754315383825,383.3370666503906,2364640,0.9705071977805346
5,"[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]","[6, 1, 6, 1, 5]",56.32599258422852,0.5824,7652442,-0.2497730553150177,1.7357436418533323,191.1044,1.6180427074432373,0.0139155164361,1.258235363427957,-1975.832134671221,204.8557,8.466613043478262,285.78552,185.52100712539237,413.8832092285156,1448752,0.6568408683333473
9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]","[3, 3, 4, 2, 1, 5, 4, 1, 5]",1403.5902099609375,0.795,174289528,-9.035541534423828,77.54755401611328,439.1533,20.956966400146484,0.2208994477987289,3.525924616297843,-408.6572375057085,243.4507,10.14426923076923,497.90118,213.9308845304629,851.3045654296875,18391120,1.0372854726683158
