layer_num,embed_dim,num_heads,mlp_ratio,dss,OA,flops,grasp,snip,zico,grad_norm,fisher,synflow,jacob_cov,zico_modified,zico_act,t_cet,NASWOT,croze,m_size,logsynflow
10,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]","[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]",1296.45751953125,0.8999,207644724,-12.807432174682615,89.4833755493164,491.0708,20.46856689453125,0.3243849575519562,3.562896661239068,-900.795728902584,247.0266,9.770844186046512,51676.6,155.04918424658672,932.1134033203124,20467981,1.068497423880013
6,"[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]","[4, 5, 1, 3, 4, 3]",43.84450149536133,0.8246,8561322,-0.6872025728225708,2.578202247619629,228.007,2.71291732788086,0.0065953666344285,1.263430990120355,-4343.983907258957,209.4335,8.5987,17650.67,128.64440808689966,477.3779296875,2174125,0.6608083448738853
9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]","[4, 6, 6, 6, 1, 5, 4, 3, 2]",278.4007873535156,0.8684,72201598,-6.4475531578063965,33.05231094360352,402.4731,12.093578338623049,0.071570798754692,2.3535921050190467,-1598.3612856077652,235.2847,9.598641025641026,39145.64,147.88155830469657,803.7540283203125,9791677,0.8741590184407144
8,"[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]","[4, 1, 3, 5, 3, 6, 1, 5]",191.45188903808597,0.8794,43347738,-4.018552780151367,17.98193359375,347.0642,8.694917678833008,0.0582056492567062,2.042306659058781,-1983.7910494077832,228.2383,9.377297142857143,32804.78,143.6334767361301,698.906494140625,7855309,0.8229160366517476
5,"[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]","[2, 2, 1, 5, 6]",72.55931854248047,0.7823,11793964,-1.0492982864379885,4.052723407745361,203.4445,3.164889335632324,0.0062072123400866,1.551008108537644,-5282.515144318186,206.9833,8.716134782608696,17214.139,130.61410911264747,426.9240417480469,1907149,0.7417426400006661
4,"[192, 192, 192, 192]","[6, 5, 4, 4]","[1, 6, 5, 6]",1271.923095703125,0.8822,97515068,-8.350117683410645,45.128265380859375,207.3093,11.181848526000977,0.1172003746032714,3.5614296263374854,-2085.079205908247,217.1213,9.635594736842105,20403.871,145.93630027604578,388.6024169921875,4156045,1.0689630055858288
8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]","[4, 5, 3, 4, 4, 6, 6, 6]",18.85626220703125,0.7857,6512520,-0.7843695878982544,2.2840917110443115,278.9753,2.751887798309326,0.0210113562643528,1.020404960201699,-1622.3636127284333,210.5463,8.45697142857143,21348.908,131.9360471075422,604.6931762695312,2509901,0.6338704022924446
9,"[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]","[3, 1, 6, 2, 3, 2, 3, 4, 1]",399.63372802734375,0.8778,74203752,-5.406248092651367,35.28139114379883,404.7326,13.91413402557373,0.0890369936823844,2.546973008269269,-1297.205219775945,235.7673,9.681382051282052,39890.547,145.40907140667505,772.25732421875,9322765,0.9312834835217956
4,"[144, 144, 144, 144]","[3, 4, 4, 3]","[3, 1, 1, 5]",529.8462524414062,0.8531,39331152,-6.253967761993408,19.49452209472656,191.4944,7.847822189331055,0.0827966034412384,2.8287447939801496,-2948.571921234433,213.4188,9.221868421052632,17771.72,134.15752664232994,367.5459289550781,2364205,0.9705071977805346
5,"[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]","[6, 1, 6, 1, 5]",43.63038635253906,0.5399,7653450,-0.4384302794933319,2.1595277786254883,194.8007,2.104123592376709,0.0036610192619264,1.258235363427957,-5085.811391343957,204.6123,8.473295652173913,14412.055,128.44176201485016,401.4911804199219,1448605,0.6568408683333473
