layer_num,embed_dim,num_heads,mlp_ratio,dss,OA,flops,grasp,snip,zico,grad_norm,fisher,synflow,jacob_cov,zico_modified,zico_act,t_cet,NASWOT,croze,m_size,logsynflow
10,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]","[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]",1477.2474365234375,0.9637,207640692,-8.067336082458496,84.78177642822266,490.6342,22.647520065307617,0.4184575378894806,3.562896661239068,-2003.6879,247.2,9.860481395348836,60036.63,185.89326496805984,929.416748046875,20468560,1.068497423880013
6,"[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]","[4, 5, 1, 3, 4, 3]",65.1700668334961,0.9317,8560314,-0.596380889415741,2.7335011959075928,231.0824,2.9010603427886963,0.0308158472180366,1.263430990120355,-6062.0441,209.6232,8.705022222222222,21045.986,155.64719462426493,483.7644958496094,2174272,0.6608083448738853
9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]","[4, 6, 6, 6, 1, 5, 4, 3, 2]",371.2096862792969,0.9431,72199246,-4.696011543273926,28.08959579467773,404.0369,11.859760284423828,0.1724413335323333,2.3535921050190467,-2306.2957,235.4699,9.72341282051282,46423.895,179.44940758409504,801.0302124023438,9792016,0.8741590184407144
8,"[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]","[4, 1, 3, 5, 3, 6, 1, 5]",245.4720458984375,0.9527,43345722,-3.064793825149536,18.010711669921875,347.7898,9.470979690551758,0.1387490183115005,2.042306659058781,-3009.7023,228.4412,9.50198,37336.543,172.49253820453868,688.7833251953125,7855600,0.8229160366517476
5,"[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]","[2, 2, 1, 5, 6]",104.99987030029295,0.8749,11792620,-0.5770864486694336,3.7270970344543457,204.4682,2.929490566253662,0.0289531238377094,1.551008108537644,-5798.1402,207.1686,8.857469565217391,18894.234,156.80512076893586,421.1694641113281,1907344,0.7417426400006661
4,"[192, 192, 192, 192]","[6, 5, 4, 4]","[1, 6, 5, 6]",1472.827392578125,0.9209,97511036,-6.329221725463867,37.23427200317383,208.147,10.160353660583496,0.2544979453086853,3.5614296263374854,-3448.6261,217.4035,9.75164210526316,23272.504,175.09098782724223,394.7552490234375,4156624,1.0689630055858288
8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]","[4, 5, 3, 4, 4, 6, 6, 6]",35.602203369140625,0.7677,6511848,-0.5605689287185669,2.327012777328491,278.8826,2.8772990703582764,0.0180269461125135,1.020404960201699,-4428.5529,210.7051,8.570308571428571,25584.58,160.4954231254307,603.6505737304688,2510000,0.6338704022924446
9,"[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]","[3, 1, 6, 2, 3, 2, 3, 4, 1]",485.4263000488281,0.8938,74201064,-2.9537553787231445,24.594816207885746,407.3771,10.87369155883789,0.1912481933832168,2.546973008269269,-2231.1401,235.9623,9.796417948717949,46100.973,175.35744270954214,779.6168212890625,9323152,0.9312834835217956
4,"[144, 144, 144, 144]","[3, 4, 4, 3]","[3, 1, 1, 5]",646.0768432617188,0.8866,39328128,-3.1298251152038574,16.965728759765625,193.6714,7.208315849304199,0.2748533487319946,2.8287447939801496,-4702.6241,213.7085,9.334552631578948,19824.879,161.57214189858266,373.6643371582031,2364640,0.9705071977805346
5,"[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]","[6, 1, 6, 1, 5]",65.05512237548828,0.7312,7652442,-0.3326982855796814,2.0882017612457275,193.9205,2.080066680908203,0.0087113538756966,1.258235363427957,-7809.4748,204.8425,8.593039130434784,17023.55,155.15502978524592,411.1457214355469,1448752,0.6568408683333473
